date,description
1931-06-13,"A SA rebellion led by Walther Stenners briefly overturned the National Socialist leadership in Berlin, Germany, only to be swept aside by an emotional appeal by Hitler for the need for party loyalty.ww2dbase[Berlin|AC]"
1931-06-18,"Wolfgang Falck began a year-long training program to become a commercial pilot at Schleissheim, München-Oberbayern, Germany.ww2dbase[Wolfgang Falck|Schleissheim, München-Oberbayern|CPC]"
1931-06-25,Ernst Vogelsang joined the German Navy with the rank of cadet.ww2dbase[Ernst Vogelsang|CPC]
1931-06-28,Masaichi Niimi was named the commanding officer of cruiser Oi.ww2dbase[Masaichi Niimi|Oi|CPC]
1931-06-30,USS R-5 was assigned to US Submarine Division 4.ww2dbase[R-5|CPC]
1931-07-01,"USS Nevada arrived at Puget Sound Naval Shipyard for repairs.ww2dbase[Puget Sound Navy Yard|Nevada|Bremerton, Washington|DS]"
1931-07-07,"The Spanish Republic was proclaimed and was recognized by western nations; King Alfonso XIII of Spain fled into exile.ww2dbase[CPC,AC]"
1931-07-14,"USS S-25 departed San Diego, California, United States.ww2dbase[S-25/Jastrzab|San Diego, California|CPC]"
1931-07-20,Karl Hermann Frank's son Gerhard was born.ww2dbase[Karl Hermann Frank|CPC]
1931-07-21,"USS S-25 arrived at Pearl Harbor, US Territory of Hawaii.ww2dbase[S-25/Jastrzab|Honolulu, Oahu|CPC]"
1931-07-23,USS R-1 was decommissioned from service.ww2dbase[R-1|CPC]
1931-07-27,President Hoover officially opened the Empire State Building in New York City in the United States.ww2dbase[AC]
1931-07-29,"Joseph Rochefort's second child, Janet Fay Rochefort, was born in Tokyo, Japan.ww2dbase[Joseph Rochefort|Tokyo|CPC]"
1931-08-01,"The Credit-Anstalt (Austria's biggest bank; owned by the Rothschild family) went bankrupt, which ultimately would contribute to Adolf Hitler's rise to power in Germany.ww2dbase[AC]"
1931-08-05,"At the town of Adalen, Sweden military troops brought in to protect strike-breakers at a timber and pulp factory opened fire on the strikers and killed five.ww2dbase[Adalen|AC]"
1931-08-08,"Vice Admiral Shunzo Mito was named the Chief of Staff of the Mako naval port at Pescadores islands, Taiwan.ww2dbase[Mako Guard District|Mako, Hoko|CPC]"
1931-08-15,"The German pocket battleship Deutschland was launched by Deutsche Werke Kiel, Germany.ww2dbase[Deutsche Werke Kiel|Deutschland|Kiel, Schleswig-Holstein|AC]"
1931-08-18,Commander Percy Wright was named the commanding officer of USS Canopus.ww2dbase[Canopus|CPC]
1931-08-20,US Navy issued an order for Consolidated Aircraft to build the prototype aircraft Model 22 Ranger XP2Y-1.ww2dbase[P2Y|CPC]
1931-08-25,Harry Dimoline was promoted to the rank of major.ww2dbase[Harry Dimoline|CPC]
1931-08-27,Reinhard Heydrich's discharge from the German Navy became legally binding.ww2dbase[Reinhard Heydrich|CPC]
1931-09-05,Cruiser Köln conducted training operation in the Baltic Sea.ww2dbase[Köln|CPC]
1931-09-07,"Reinhard Heydrich joined the Nazi Party in Hamburg, Germany, receiving party identification number 544,916.ww2dbase[Reinhard Heydrich|Hamburg|CPC]"
1931-09-08,"During this month cruiser Köln traveled to Norway and conducted operations in the North Sea, Jutland, and the Baltic Sea.ww2dbase[Köln|CPC]"
1931-09-13,The Do X aircraft arrived in the Cape Verde islands.ww2dbase[Do X|CPC]
1931-09-15,Lorraine's refitting was completed.ww2dbase[Lorraine|CPC]
1931-09-16,"HMS Hermes participated in the rescue of survivors of HMS Poseidon in the Yellow Sea north of Shandong Province, China; the submarine had collided with Chinese merchant vessel Yuta while on exercise.ww2dbase[Hermes|Yellow Sea|CPC]"
1931-09-18,"USS Nevada departed Puget Sound Naval Shipyard.ww2dbase[Puget Sound Navy Yard|Nevada|Bremerton, Washington|DS]"
1931-09-19,"Lieutenant General Mao Bangchu was named the commanding officer of the pilot training program at the Republic of China Military Academy in Nanjing, China, relieving Lieutenant General Huang Bingheng.ww2dbase[Nanjing|CPC]"
1931-09-20,"The keel of I-68 was laid down at Kure Naval Arsenal, Kure, Japan.ww2dbase[Kure Naval Arsenal|I-68/I-168|Kure, Hiroshima|CPC]"
